,descriptor,timestamp,ambientRaw,objectRaw,ambientTemp,objectTemp,epoch
13523,4.0,87129157.0,13162.0,64489.0,297.3360290527344,297.00006103515625,1666296212.550535
13524,5.0,87129159.0,13654.0,64498.0,296.8069763183594,296.83294677734375,1666296212.550535
13525,1.0,87130164.0,13422.0,64692.0,296.9290771484375,297.4441223144531,1666296215.1009648
13526,2.0,87130165.0,13963.0,64493.0,297.99884033203125,298.1291198730469,1666296215.1009648
13527,3.0,87130167.0,13132.0,64486.0,297.2837219238281,297.3706359863281,1666296215.1009648
13528,4.0,87130169.0,13165.0,64473.0,297.3534851074219,296.9726867675781,1666296215.1009648
13529,5.0,87130171.0,13655.0,64476.0,296.8127746582031,296.7753601074219,1666296215.1009648
13530,1.0,87131153.0,13424.0,64694.0,296.9407043457031,297.460693359375,1666296215.8087435
13531,2.0,87131154.0,13965.0,64499.0,298.0104675292969,298.1563720703125,1666296215.8087435
13532,3.0,87131156.0,13134.0,64478.0,297.29534912109375,297.3612060546875,1666296215.8087435
13533,4.0,87131157.0,13165.0,64459.0,297.3534851074219,296.93341064453125,1666296215.8087435
13534,5.0,87131159.0,13655.0,64460.0,296.8127746582031,296.7292175292969,1666296215.8087435
13535,1.0,87132153.0,13425.0,64702.0,296.9465026855469,297.48638916015625,1666296216.6277444
13536,2.0,87132155.0,13962.0,64481.0,297.9930114746094,298.092041015625,1666296216.6277444
13537,3.0,87132156.0,13134.0,64478.0,297.29534912109375,297.3612060546875,1666296216.6277444
13538,4.0,87132158.0,13164.0,64464.0,297.34765625,296.94158935546875,1666296216.6277444
13539,5.0,87132160.0,13655.0,64469.0,296.8127746582031,296.75518798828125,1666296216.6277444
13540,1.0,87133153.0,13422.0,64699.0,296.9290771484375,297.4615783691406,1666296217.3427494
13541,2.0,87133155.0,13962.0,64493.0,297.9930114746094,298.123291015625,1666296217.3427494
13542,3.0,87133156.0,13129.0,64470.0,297.2662658691406,297.3110656738281,1666296217.3427494
13543,4.0,87133158.0,13164.0,64451.0,297.34765625,296.90509033203125,1666296217.3427494
13544,5.0,87133160.0,13654.0,64453.0,296.8069763183594,296.7032470703125,1666296217.3427494
13545,1.0,87134153.0,13421.0,64677.0,296.9232482910156,297.4009094238281,1666296218.187743
13546,2.0,87134154.0,13960.0,64500.0,297.98138427734375,298.1299133300781,1666296218.187743
13547,3.0,87134156.0,13131.0,64494.0,297.27789306640625,297.3858642578125,1666296218.187743
13548,4.0,87134157.0,13159.0,64478.0,297.318603515625,296.95172119140625,1666296218.187743
13549,5.0,87134159.0,13654.0,64483.0,296.8069763183594,296.78973388671875,1666296218.187743
13550,1.0,87135164.0,13420.0,64676.0,296.9174499511719,297.39263916015625,1666296218.9847426
13551,2.0,87135165.0,13963.0,64491.0,297.99884033203125,298.1239318847656,1666296218.9847426
13552,3.0,87135167.0,13133.0,64487.0,297.2895202636719,297.3790588378906,1666296218.9847426
13553,4.0,87135169.0,13164.0,64471.0,297.34765625,296.96124267578125,1666296218.9847426
13554,5.0,87135171.0,13656.0,64472.0,296.818603515625,296.7696533203125,1666296218.9847426
13555,1.0,87136153.0,13415.0,64685.0,296.88836669921875,297.3861389160156,1666296219.817218
13556,2.0,87136154.0,13960.0,64451.0,297.98138427734375,298.00225830078125,1666296219.817218
13557,3.0,87136156.0,13130.0,64441.0,297.2720947265625,297.24053955078125,1666296219.817218
13558,4.0,87136157.0,13161.0,64395.0,297.3302307128906,296.7302551269531,1666296219.817218
13559,5.0,87136159.0,13653.0,64387.0,296.8011474609375,296.5068664550781,1666296219.817218
13560,1.0,87137153.0,13417.0,64692.0,296.8999938964844,297.4151916503906,1666296220.5198605
13561,2.0,87137155.0,13961.0,64495.0,297.9872131347656,298.12274169921875,1666296220.5198605
13562,3.0,87137156.0,13131.0,64488.0,297.27789306640625,297.3700866699219,1666296220.5198605
13563,4.0,87137158.0,13159.0,64473.0,297.318603515625,296.93768310546875,1666296220.5198605
13564,5.0,87137160.0,13651.0,64475.0,296.7895202636719,296.74920654296875,1666296220.5198605
13565,1.0,87138153.0,13417.0,64704.0,296.8999938964844,297.4450988769531,1666296221.3364706
13566,2.0,87138155.0,13961.0,64487.0,297.9872131347656,298.1018981933594,1666296221.3364706
13567,3.0,87138156.0,13129.0,64464.0,297.2662658691406,297.2952880859375,1666296221.3364706
13568,4.0,87138158.0,13160.0,64441.0,297.32440185546875,296.8536682128906,1666296221.3364706
13569,5.0,87138160.0,13650.0,64443.0,296.7837219238281,296.651123046875,1666296221.3364706
13570,1.0,87139153.0,13419.0,64708.0,296.91162109375,297.4666748046875,1666296223.699671
13571,2.0,87139154.0,13961.0,64496.0,297.9872131347656,298.1253356933594,1666296223.699671
13572,3.0,87139156.0,13130.0,64473.0,297.2720947265625,297.3247985839844,1666296223.699671
13573,4.0,87139157.0,13160.0,64439.0,297.32440185546875,296.8480529785156,1666296223.699671
13574,5.0,87139159.0,13652.0,64434.0,296.79534912109375,296.63677978515625,1666296223.699671
13575,1.0,87140164.0,13420.0,64705.0,296.9174499511719,297.4649658203125,1666296224.6015875
13576,2.0,87140165.0,13958.0,64502.0,297.9697570800781,298.12353515625,1666296224.6015875
13577,3.0,87140167.0,13130.0,64478.0,297.2720947265625,297.33795166015625,1666296224.6015875
13578,4.0,87140168.0,13162.0,64451.0,297.3360290527344,296.8934326171875,1666296224.6015875
13579,5.0,87140170.0,13650.0,64442.0,296.7837219238281,296.6482238769531,1666296224.6015875
13580,1.0,87141153.0,13417.0,64708.0,296.8999938964844,297.455078125,1666296225.3115888
13581,2.0,87141154.0,13960.0,64514.0,297.98138427734375,298.1663513183594,1666296225.3115888
13582,3.0,87141156.0,13130.0,64483.0,297.2720947265625,297.35113525390625,1666296225.3115888
13583,4.0,87141157.0,13164.0,64474.0,297.34765625,296.9696350097656,1666296225.3115888
13584,5.0,87141159.0,13652.0,64482.0,296.79534912109375,296.77520751953125,1666296225.3115888
13585,1.0,87142153.0,13416.0,64690.0,296.8941650390625,297.4043884277344,1666296226.1440954
13586,2.0,87142155.0,13959.0,64495.0,297.9755859375,298.1111145019531,1666296226.1440954
13587,3.0,87142156.0,13130.0,64481.0,297.2720947265625,297.3458557128906,1666296226.1440954
13588,4.0,87142158.0,13160.0,64466.0,297.32440185546875,296.9238586425781,1666296226.1440954
13589,5.0,87142160.0,13651.0,64469.0,296.7895202636719,296.7319030761719,1666296226.1440954
13590,1.0,87143153.0,13418.0,64694.0,296.90582275390625,297.42596435546875,1666296226.8550947
13591,2.0,87143155.0,13958.0,64494.0,297.9697570800781,298.1026916503906,1666296226.8550947
13592,3.0,87143156.0,13129.0,64474.0,297.2662658691406,297.32159423828125,1666296226.8550947
13593,4.0,87143158.0,13163.0,64449.0,297.34185791015625,296.8936767578125,1666296226.8550947
13594,5.0,87143160.0,13653.0,64451.0,296.8011474609375,296.691650390625,1666296226.8550947
13595,1.0,87144153.0,13415.0,64701.0,296.88836669921875,297.4260559082031,1666296227.679095
13596,2.0,87144154.0,13959.0,64505.0,297.9755859375,298.13714599609375,1666296227.679095
13597,3.0,87144156.0,13129.0,64471.0,297.2662658691406,297.313720703125,1666296227.679095
13598,4.0,87144157.0,13162.0,64457.0,297.3360290527344,296.9102783203125,1666296227.679095
13599,5.0,87144159.0,13651.0,64466.0,296.7895202636719,296.7232666015625,1666296227.679095
13600,1.0,87145164.0,13415.0,64705.0,296.88836669921875,297.43603515625,1666296228.7728343
13601,2.0,87145165.0,13958.0,64491.0,297.9697570800781,298.0948791503906,1666296228.7728343
13602,3.0,87145167.0,13129.0,64453.0,297.2662658691406,297.26629638671875,1666296228.7728343
13603,4.0,87145169.0,13163.0,64431.0,297.34185791015625,296.8431091308594,1666296228.7728343
13604,5.0,87145171.0,13649.0,64443.0,296.77789306640625,296.645263671875,1666296228.7728343
13605,1.0,87146153.0,13420.0,64705.0,296.9174499511719,297.4649658203125,1666296229.896952
13606,2.0,87146154.0,13956.0,64504.0,297.9581298828125,298.11712646484375,1666296229.896952
13607,3.0,87146156.0,13130.0,64459.0,297.2720947265625,297.2879333496094,1666296229.896952
13608,4.0,87146157.0,13158.0,64450.0,297.3127746582031,296.86724853515625,1666296229.896952
13609,5.0,87146159.0,13649.0,64461.0,296.77789306640625,296.69720458984375,1666296229.896952
13610,1.0,87147153.0,13417.0,64708.0,296.8999938964844,297.455078125,1666296230.789307
13611,2.0,87147155.0,13957.0,64495.0,297.9639587402344,298.0994873046875,1666296230.789307
13612,3.0,87147156.0,13130.0,64473.0,297.2720947265625,297.3247985839844,1666296230.789307
13613,4.0,87147158.0,13160.0,64465.0,297.32440185546875,296.9210510253906,1666296230.789307
13614,5.0,87147160.0,13651.0,64472.0,296.7895202636719,296.7405700683594,1666296230.789307
13615,1.0,87148153.0,13418.0,64704.0,296.90582275390625,297.4508972167969,1666296234.169251
13616,2.0,87148155.0,13956.0,64484.0,297.9581298828125,298.0650329589844,1666296234.169251
13617,3.0,87148156.0,13129.0,64468.0,297.2662658691406,297.3058166503906,1666296234.169251
13618,4.0,87148158.0,13160.0,64439.0,297.32440185546875,296.8480529785156,1666296234.169251
13619,5.0,87148160.0,13651.0,64439.0,296.7895202636719,296.6453857421875,1666296234.169251
13620,1.0,87149153.0,13420.0,64708.0,296.9174499511719,297.47247314453125,1666296235.0627327
13621,2.0,87149154.0,13955.0,64498.0,297.95233154296875,298.095703125,1666296235.0627327
13622,3.0,87149156.0,13127.0,64487.0,297.254638671875,297.3442077636719,1666296235.0627327
13623,4.0,87149157.0,13161.0,64473.0,297.3302307128906,296.9493408203125,1666296235.0627327
13624,5.0,87149159.0,13649.0,64464.0,296.77789306640625,296.70587158203125,1666296235.0627327
13625,1.0,87150164.0,13417.0,64709.0,296.8999938964844,297.45758056640625,1666296236.0956194
13626,2.0,87150165.0,13955.0,64509.0,297.95233154296875,298.1243591308594,1666296236.0956194
13627,3.0,87150167.0,13129.0,64485.0,297.2662658691406,297.3505554199219,1666296236.0956194
13628,4.0,87150169.0,13166.0,64472.0,297.3592834472656,296.9757080078125,1666296236.0956194
13629,5.0,87150171.0,13648.0,64479.0,296.7720947265625,296.7433166503906,1666296236.0956194
13630,1.0,87151153.0,13418.0,64710.0,296.90582275390625,297.46588134765625,1666296236.805629
13631,2.0,87151154.0,13950.0,64507.0,297.9232482910156,298.090087890625,1666296236.805629
13632,3.0,87151156.0,13128.0,64488.0,297.2604675292969,297.3526611328125,1666296236.805629
