,srawVOC,srawNOX,voc_index_value,nox_index_value,timestamp,epoch
137,31615.0,16888.0,94.0,1.0,151453.0,1666306492.2303693
138,31626.0,16875.0,94.0,1.0,153397.0,1666306494.1806495
139,31598.0,16876.0,94.0,1.0,153453.0,1666306494.2403579
140,31729.0,16876.0,92.0,1.0,155396.0,1666306496.177446
141,31621.0,16861.0,93.0,1.0,155454.0,1666306496.2345326
142,31618.0,16863.0,93.0,1.0,157395.0,1666306498.185615
143,31609.0,16865.0,93.0,1.0,157455.0,1666306498.2456472
144,31655.0,16848.0,93.0,1.0,159395.0,1666306500.180706
145,31628.0,16850.0,93.0,1.0,159454.0,1666306500.2411969
146,31619.0,16836.0,93.0,1.0,161396.0,1666306502.1906204
147,31597.0,16828.0,94.0,1.0,161453.0,1666306502.235728
148,31630.0,16826.0,94.0,1.0,163397.0,1666306504.1859303
149,31631.0,16828.0,94.0,1.0,163453.0,1666306504.2462852
150,31702.0,16824.0,93.0,1.0,165396.0,1666306506.1815922
151,31624.0,16819.0,93.0,1.0,165454.0,1666306506.2408006
152,31640.0,16813.0,93.0,1.0,167395.0,1666306508.1912653
153,31730.0,16811.0,92.0,1.0,167455.0,1666306508.2512667
154,31652.0,16804.0,92.0,1.0,169395.0,1666306510.1870134
155,31678.0,16805.0,91.0,1.0,169454.0,1666306510.2470138
156,31622.0,16787.0,92.0,1.0,171396.0,1666306512.1816542
157,31637.0,16787.0,92.0,1.0,171453.0,1666306512.2409852
158,31623.0,16775.0,93.0,1.0,173397.0,1666306514.1909168
159,31610.0,16783.0,93.0,1.0,173453.0,1666306514.25193
160,31582.0,16770.0,95.0,1.0,175396.0,1666306516.186576
161,31658.0,16779.0,95.0,1.0,175454.0,1666306516.246231
162,31661.0,16762.0,94.0,1.0,177395.0,1666306518.180914
163,31644.0,16766.0,94.0,1.0,177455.0,1666306518.2415733
164,31604.0,16747.0,95.0,1.0,179395.0,1666306520.1907747
165,31624.0,16751.0,95.0,1.0,179454.0,1666306520.2510827
166,31606.0,16743.0,96.0,1.0,181396.0,1666306522.1866214
167,31582.0,16739.0,97.0,1.0,181453.0,1666306522.2467003
168,31651.0,16739.0,97.0,1.0,183397.0,1666306524.1962538
169,31678.0,16736.0,96.0,1.0,183453.0,1666306524.241317
170,31605.0,16728.0,97.0,1.0,185396.0,1666306526.1919904
171,31611.0,16731.0,98.0,1.0,185454.0,1666306526.251806
172,31684.0,16722.0,97.0,1.0,187395.0,1666306528.1868224
173,31603.0,16717.0,97.0,1.0,187455.0,1666306528.2465386
174,31618.0,16714.0,98.0,1.0,189395.0,1666306530.1965163
175,31600.0,16712.0,98.0,1.0,189454.0,1666306530.2573051
176,31732.0,16701.0,97.0,1.0,191396.0,1666306532.1917732
177,31596.0,16702.0,98.0,1.0,191453.0,1666306532.251945
178,31576.0,16687.0,99.0,1.0,193397.0,1666306534.2018247
179,31615.0,16689.0,99.0,1.0,193453.0,1666306534.2467866
180,31601.0,16686.0,100.0,1.0,195396.0,1666306536.1968875
181,31637.0,16679.0,100.0,1.0,195454.0,1666306536.257212
182,31631.0,16672.0,100.0,1.0,197395.0,1666306538.1919832
183,31605.0,16678.0,100.0,1.0,197455.0,1666306538.2604585
184,31640.0,16662.0,100.0,1.0,199395.0,1666306540.638449
185,31616.0,16669.0,100.0,1.0,199454.0,1666306540.7259793
186,31580.0,16659.0,101.0,1.0,201396.0,1666306542.3413877
187,31611.0,16661.0,101.0,1.0,201453.0,1666306542.4273913
188,31595.0,16650.0,102.0,1.0,203397.0,1666306544.3626394
189,31589.0,16647.0,103.0,1.0,203453.0,1666306544.4502878
190,31671.0,16634.0,102.0,1.0,205396.0,1666306546.4452703
191,31645.0,16635.0,101.0,1.0,205454.0,1666306546.4714456
192,31585.0,16633.0,102.0,1.0,207395.0,1666306548.1977134
193,31582.0,16629.0,103.0,1.0,207455.0,1666306548.2578886
194,31569.0,16620.0,104.0,1.0,209395.0,1666306550.193063
195,31581.0,16622.0,104.0,1.0,209454.0,1666306550.2520487
196,31611.0,16613.0,104.0,1.0,211396.0,1666306552.2034106
197,31587.0,16618.0,105.0,1.0,211453.0,1666306552.2627597
198,31581.0,16610.0,105.0,1.0,213397.0,1666306554.197612
199,31571.0,16612.0,106.0,1.0,213453.0,1666306554.2596118
200,31644.0,16599.0,105.0,1.0,215396.0,1666306556.2133982
201,31662.0,16599.0,104.0,1.0,215454.0,1666306556.2683969
202,31677.0,16599.0,102.0,1.0,217394.0,1666306558.2033982
203,31599.0,16590.0,103.0,1.0,217456.0,1666306558.2634025
204,31616.0,16587.0,103.0,1.0,219394.0,1666306560.197826
205,31652.0,16582.0,102.0,1.0,219455.0,1666306560.2588258
206,31565.0,16585.0,103.0,1.0,221395.0,1666306562.208825
207,31615.0,16573.0,103.0,1.0,221454.0,1666306562.2678282
208,31609.0,16576.0,103.0,1.0,223396.0,1666306564.2029793
209,31652.0,16571.0,102.0,1.0,223454.0,1666306564.2628353
210,31705.0,16561.0,100.0,1.0,225395.0,1666306566.2137005
