,lux,timestamp,epoch
80,537.0,73783.0,1666384324.326777
81,537.0,78783.0,1666384329.321979
82,537.0,83783.0,1666384334.3323293
83,537.0,88783.0,1666384339.3264832
84,537.0,93783.0,1666384344.32203
85,537.0,98783.0,1666384349.3910546
86,537.0,8783.0,1666384449.3062928
87,537.0,13783.0,1666384454.2711833
88,537.0,18783.0,1666384459.6698182
89,537.0,23783.0,1666384464.2766063
90,537.0,28783.0,1666384469.2869804
91,537.0,33783.0,1666384474.282927
92,537.0,38783.0,1666384479.3695254
93,537.0,43783.0,1666384484.3369887
94,537.0,48783.0,1666384489.2980852
95,537.0,53783.0,1666384494.292572
96,537.0,58783.0,1666384499.287803
97,537.0,63783.0,1666384504.6665683
98,537.0,68783.0,1666384509.2935367
99,537.0,73783.0,1666384514.3041503
100,537.0,78783.0,1666384519.2993035
101,537.0,83783.0,1666384524.3094234
102,537.0,88783.0,1666384529.3048851
103,537.0,93783.0,1666384534.3000343
104,537.0,98783.0,1666384539.3094087
105,537.0,103783.0,1666384544.3544273
106,537.0,108783.0,1666384550.3721197
107,537.0,113783.0,1666384554.3103633
108,537.0,118783.0,1666384559.3207622
109,537.0,123784.0,1666384564.389836
110,537.0,8794.0,1666384621.9773939
111,537.0,13794.0,1666384626.9577138
112,537.0,18794.0,1666384632.3954701
113,537.0,23794.0,1666384636.9636157
114,537.0,28794.0,1666384641.9733632
115,537.0,33794.0,1666384646.9539113
116,537.0,38794.0,1666384651.9790483
117,432.0,8786.0,1666384848.729927
118,432.0,13786.0,1666384853.7107067
119,69.0,5151.0,1666385022.3519647
120,69.0,10152.0,1666385027.4433155
121,70.0,15152.0,1666385032.3557224
122,70.0,20152.0,1666385037.3523078
123,70.0,25152.0,1666385042.362724
124,70.0,30152.0,1666385047.3580132
125,70.0,35152.0,1666385052.3669405
126,70.0,40152.0,1666385057.3654416
127,70.0,5151.0,1666385081.8436723
128,71.0,8283.0,1666385182.7159753
129,70.0,13285.0,1666385188.131706
130,71.0,8285.0,1666385197.5932865
131,72.0,13286.0,1666385203.5108197
132,69.0,18286.0,1666385207.6023529
133,537.0,11918.0,1666385565.1940758
134,537.0,16918.0,1666385570.1750743
135,537.0,21918.0,1666385575.712075
136,537.0,26918.0,1666385580.1790767
137,537.0,31918.0,1666385585.1900754
138,537.0,36918.0,1666385590.1850793
139,537.0,41918.0,1666385595.4560747
140,537.0,46918.0,1666385600.205075
141,537.0,51918.0,1666385605.1850793
142,537.0,56918.0,1666385610.1960764
143,537.0,61918.0,1666385615.206076
144,537.0,66918.0,1666385620.6790743
145,537.0,71918.0,1666385625.1970735
146,537.0,11918.0,1666385639.9720743
147,537.0,16918.0,1666385644.9520764
148,537.0,21918.0,1666385650.4920805
149,537.0,26918.0,1666385654.9580817
150,537.0,31918.0,1666385660.5580883
151,537.0,36918.0,1666385664.9770734
152,537.0,41918.0,1666385669.958076
153,537.0,46918.0,1666385674.9678857
154,537.0,51918.0,1666385679.9628828
155,537.0,56918.0,1666385684.958884
156,537.0,61918.0,1666385689.967884
157,537.0,66918.0,1666385695.4908826
158,537.0,71918.0,1666385699.973882
159,537.0,76918.0,1666385704.969884
160,537.0,81918.0,1666385709.9788828
161,537.0,86918.0,1666385714.9748838
162,537.0,91918.0,1666385719.9698827
163,537.0,96918.0,1666385725.0308945
164,537.0,101918.0,1666385730.057882
165,537.0,106918.0,1666385734.985884
166,537.0,111918.0,1666385740.5648842
167,537.0,116918.0,1666385744.990883
168,537.0,121918.0,1666385749.985884
169,537.0,126918.0,1666385754.9968846
170,537.0,131918.0,1666385759.9918823
171,537.0,136918.0,1666385764.9868824
172,537.0,141918.0,1666385769.9968836
173,537.0,146918.0,1666385774.9918861
174,537.0,151918.0,1666385780.0028818
175,537.0,156918.0,1666385785.5498834
176,537.0,161918.0,1666385790.0768814
177,537.0,166918.0,1666385795.7900083
178,537.0,171918.0,1666385799.9980059
179,537.0,176918.0,1666385805.0090058
180,537.0,181918.0,1666385810.0030043
181,537.0,186918.0,1666385815.0140052
182,537.0,191918.0,1666385820.0090094
183,537.0,196918.0,1666385825.0190063
184,537.0,201918.0,1666385830.6280043
185,537.0,206918.0,1666385835.0240052
186,537.0,211918.0,1666385840.0200064
187,537.0,216918.0,1666385845.0150044
188,537.0,221918.0,1666385850.0250068
189,537.0,226918.0,1666385855.0710037
190,537.0,231918.0,1666385860.1000051
191,537.0,236918.0,1666385865.0250065
192,537.0,241918.0,1666385870.036007
193,537.0,246918.0,1666385875.6544278
194,537.0,251918.0,1666385880.041735
195,537.0,256918.0,1666385885.0508
196,537.0,261918.0,1666385890.031794
197,537.0,266918.0,1666385895.0417972
198,537.0,271918.0,1666385900.0367947
199,537.0,276918.0,1666385905.0477967
200,537.0,281918.0,1666385910.0427954
201,537.0,286918.0,1666385915.0537946
202,537.0,291918.0,1666385921.3487935
203,537.0,296918.0,1666385925.0937953
204,537.0,301918.0,1666385930.0537944
205,537.0,306918.0,1666385935.0637956
206,537.0,311918.0,1666385940.0587935
207,537.0,316918.0,1666385945.0537963
208,537.0,321918.0,1666385950.0797977
209,537.0,326918.0,1666385955.0587957
210,537.0,331918.0,1666385960.0695007
211,537.0,336918.0,1666385965.7180712
212,537.0,341918.0,1666385970.059893
213,537.0,346918.0,1666385975.0904486
214,537.0,351918.0,1666385980.0647998
215,537.0,356918.0,1666385985.1256537
216,537.0,361918.0,1666385990.1413395
217,537.0,366918.0,1666385995.0800173
218,537.0,371918.0,1666386000.0757093
219,537.0,376918.0,1666386005.0710285
220,537.0,381918.0,1666386010.80435
221,537.0,386918.0,1666386015.0765347
222,537.0,11918.0,1666386047.551844
223,537.0,16925.0,1666386068.8377984
224,537.0,21927.0,1666386074.8935742
225,537.0,26927.0,1666386079.1728218
226,537.0,31927.0,1666386084.3032293
