,0,ambientRaw,ambientTemp,descriptor,epoch,objectRaw,objectTemp,timestamp
280,1.0,,,,,,,
281,532146.0,,,,,,,
282,13085.0,,,,,,,
283,64488.0,,,,,,,
284,294.9697570800781,,,,,,,
285,294.97491455078125,,,,,,,
286,1664398282.045644,,,,,,,
287,2.0,,,,,,,
288,532147.0,,,,,,,
289,13499.0,,,,,,,
290,64480.0,,,,,,,
291,295.3011474609375,,,,,,,
292,295.40008544921875,,,,,,,
293,1664398282.047529,,,,,,,
294,3.0,,,,,,,
295,532149.0,,,,,,,
296,12749.0,,,,,,,
297,65092.0,,,,,,,
298,295.0569763183594,,,,,,,
299,296.7618408203125,,,,,,,
300,1664398282.0489202,,,,,,,
301,4.0,,,,,,,
302,532150.0,,,,,,,
303,12807.0,,,,,,,
304,65076.0,,,,,,,
305,295.2720947265625,,,,,,,
306,296.5951232910156,,,,,,,
307,1664398282.0503051,,,,,,,
308,5.0,,,,,,,
309,532152.0,,,,,,,
310,13282.0,,,,,,,
311,65061.0,,,,,,,
312,294.6441650390625,,,,,,,
313,296.3130798339844,,,,,,,
314,1664398282.0516968,,,,,,,
315,1.0,,,,,,,
316,533146.0,,,,,,,
317,13085.0,,,,,,,
318,64489.0,,,,,,,
319,294.9697570800781,,,,,,,
320,294.9774475097656,,,,,,,
321,1664398283.0443468,,,,,,,
322,2.0,,,,,,,
323,533147.0,,,,,,,
324,13498.0,,,,,,,
325,64483.0,,,,,,,
326,295.29534912109375,,,,,,,
327,295.40228271484375,,,,,,,
328,1664398283.046217,,,,,,,
329,3.0,,,,,,,
330,533149.0,,,,,,,
331,12751.0,,,,,,,
332,65095.0,,,,,,,
333,295.068603515625,,,,,,,
334,296.7812194824219,,,,,,,
335,1664398283.047712,,,,,,,
336,4.0,,,,,,,
337,533150.0,,,,,,,
338,12807.0,,,,,,,
339,65081.0,,,,,,,
340,295.2720947265625,,,,,,,
341,296.60919189453125,,,,,,,
342,1664398283.049181,,,,,,,
343,5.0,,,,,,,
344,533151.0,,,,,,,
345,13283.0,,,,,,,
346,65062.0,,,,,,,
347,294.6499938964844,,,,,,,
348,296.32171630859375,,,,,,,
349,1664398283.050706,,,,,,,
350,1.0,,,,,,,
351,534146.0,,,,,,,
352,13086.0,,,,,,,
353,64490.0,,,,,,,
354,294.9755859375,,,,,,,
355,294.98583984375,,,,,,,
356,1664398284.0372999,,,,,,,
357,2.0,,,,,,,
358,534147.0,,,,,,,
359,13502.0,,,,,,,
360,64480.0,,,,,,,
361,295.318603515625,,,,,,,
362,295.4175109863281,,,,,,,
363,1664398284.044158,,,,,,,
364,3.0,,,,,,,
365,534149.0,,,,,,,
366,12752.0,,,,,,,
367,65071.0,,,,,,,
368,295.07440185546875,,,,,,,
369,296.7234191894531,,,,,,,
370,1664398284.054293,,,,,,,
